orgid,gender,age,cont1,cont2,cont3,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,jsat1,jsat2,jsat3,neur1,neur2,neur3,notrain1,notrain2,notrain3,nofeed1,nofeed2,nofeed3
2,1,52.5,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0
2,0,37.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,34.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0
2,1,30.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,7.0,4.0,6.0,6.0,6.0
2,0,44.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
2,1,49.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0
2,1,55.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,6.0,6.0,5.0
2,0,18.5,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,3.0
2,0,19.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,7.0,7.0
2,0,37.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
2,0,26.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,4.0,5.0,6.0,6.0,6.0
2,1,36.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0
2,1,29.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0
2,0,22.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,6.0,6.0,6.0
