orgid,gender,age,cont1,cont2,cont3,neg1,neg2,neg3,neg4,neg5,neg6,neg7,neg8,neg9,neg10,neg11,jsat1,jsat2,jsat3,Neur1,Neur2,Neur3,notrain1,notrain2,notrain3,nofeed1,nofeed2,nofeed3
Org C,male,35.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,1.0,4.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,3.0,3.0,4.0
Org C,male,56.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0
Org C,male,58.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,5.0,5.0,3.0,6.0,2.0,5.0,5.0,5.0,3.0
Org C,male,30.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
Org C,male,40.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,7.0,7.0,6.0
Org C,male,38.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,7.0,7.0,7.0
Org C,male,29.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0
Org C,male,55.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0
Org C,female,36.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0
Org C,female,39.0,2.0,2.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,6.0,5.0,6.0,5.0,6.0,6.0
Org C,female,41.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0
Org C,male,24.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,1.0,6.0,1.0,5.0,5.0,5.0
Org C,male,32.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0
Org C,male,33.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,5.0,2.0,2.0,3.0,3.137091262075839,2.728096456137529,3.1107906291354497,3.128147491193788,3.129874649345323,2.843110511464267
Org C,female,37.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0
Org C,male,52.5,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,5.0,5.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,2.0
Org C,female,37.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Org C,female,34.0,1.0,1.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,1.0,1.0,7.0,7.0,7.0
Org C,male,30.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,4.0,3.0,7.0,4.0,6.0,6.0,6.0
Org C,female,44.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
Org C,male,49.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0
Org C,male,55.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,6.0,6.0,5.0
Org C,female,18.5,3.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,3.0
Org C,female,19.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,7.0,7.0,7.0
Org C,female,37.0,4.0,3.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0
Org C,female,26.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,4.0,5.0,6.0,6.0,6.0
Org C,male,36.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0
Org C,male,29.0,4.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,3.0,3.0
Org C,female,22.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,4.0,4.0,4.0,6.0,6.0,6.0
Org C,female,23.0,3.0,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0
Org C,female,47.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,2.0,4.0,6.0,4.0,5.0,6.0,6.0,5.0
Org C,male,17.0,3.0,3.0,2.0,3.0,5.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,6.0,5.0
Org C,female,34.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,5.0,4.0,1.0,1.0,5.0,5.0,5.0
Org C,male,37.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,7.0,5.0,7.0,4.0,4.0,2.0
Org C,male,44.0,4.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,7.0,1.0,4.0,1.0,1.0,1.0
Org C,male,55.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,3.0,3.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0
Org C,male,33.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,1.0,7.0,1.0,1.0,1.0,1.0
Org C,female,34.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,5.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0
Org C,male,40.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0
Org C,male,46.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,3.0,6.0,5.0,6.0,4.0,4.0,4.0
Org C,female,37.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,2.0,2.0,5.0,3.0,3.0,5.0
Org C,female,32.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,7.0,6.0,5.0,3.0,7.0,6.0,7.0,7.0,5.0
Org C,male,19.0,1.0,2.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,6.0,3.0,5.0,4.0,4.0,5.0
Org C,female,36.0,4.0,4.0,4.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,5.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0
Org C,female,47.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,2.0,6.0,6.0,6.0
Org C,female,33.0,2.0,3.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,3.0,1.0,1.0,7.0,6.0,6.0,4.0,4.0,4.0
